titre,lien,date_edition,date_limite
CHEF DE CENTRE ATELIER MÉCANIQUE,https://emploi.educarriere.ci/offre-141470-chef-de-centre-atelier-mecanique.html,25/11/2025,08/12/2025
AUDITEUR FINANCIER,https://emploi.educarriere.ci/offre-141469-auditeur-financier.html,25/11/2025,08/12/2025
POMPISTE,https://emploi.educarriere.ci/offre-141468-pompiste.html,25/11/2025,31/12/2025
SENIOR MANAGER,https://emploi.educarriere.ci/offre-141467-senior-manager.html,25/11/2025,29/11/2025
CONSULTANT,https://emploi.educarriere.ci/offre-141466-consultant.html,25/11/2025,08/12/2025
RESPONSABLE FORMATION ET ASSISTANCE HÔTELIÈRE,https://emploi.educarriere.ci/offre-141465-responsable-formation-et-assistance-hoteliere.html,25/11/2025,05/12/2025
STAGIAIRE GESTIONNAIRE DE STOCK,https://emploi.educarriere.ci/offre-141464-stagiaire-gestionnaire-de-stock.html,25/11/2025,28/11/2025
1 ARCHIVISTE,https://emploi.educarriere.ci/offre-141463-1-archiviste.html,25/11/2025,27/11/2025
RESPONSABLE D'EQUIPE DE PRODUCTION,https://emploi.educarriere.ci/offre-141462-responsable-d-equipe-de-production.html,25/11/2025,01/12/2025
RESPONSABLE D'EQUIPE DE PRODUCTION SENIOR,https://emploi.educarriere.ci/offre-141461-responsable-d-equipe-de-production-senior.html,25/11/2025,01/12/2025
DIAGRAPHISTE DE SURFACE JUNIOR (JUNIOR MUDLOGGER),https://emploi.educarriere.ci/offre-141460-diagraphiste-de-surface-junior-junior-mudlogger.html,25/11/2025,19/12/2025
DIRECTEUR DES TRAVAUX – AEP (ADDUCTION D’EAU POTABLE)/CO...,https://emploi.educarriere.ci/offre-141459-directeur-des-travaux-aep-adduction-d-eau-potable-conducteur-des-travaux-aep-chef-de-chantier-aep.html,25/11/2025,19/12/2025
TELEVENDEUR & COMMERCIAL,https://emploi.educarriere.ci/offre-141458-televendeur-commercial.html,25/11/2025,08/12/2025
AGENT DE NETTOYAGE,https://emploi.educarriere.ci/offre-141457-agent-de-nettoyage.html,25/11/2025,08/12/2025
TERMES DE REFERENCE CONSULTANCE POUR L'ELABORATION DU MANUEL DE GESTIO...,https://www.educarriere.ci/ao-1439-termes-de-reference-consultance-pour-l-elaboration-du-manuel-de-gestion-du-reseau-agcs-plus.html,25/11/2025,08/12/2025
AVIS D'APPEL D'OFFRES - LITB-2025-9200466_MISE EN PLACE D'ACCORDS A LO...,https://www.educarriere.ci/ao-1438-avis-d-appel-d-offres-litb-2025-9200466-mise-en-place-d-accords-a-long-terme-pour-fournitures-et-petits-materiels-de-bureau.html,25/11/2025,08/12/2025
SELECTION D'UN PRESTATAIRE POUR LA SECURITE DES BUREAUX HELEN KELLER I...,https://www.educarriere.ci/ao-1437-selection-d-un-prestataire-pour-la-securite-des-bureaux-helen-keller-intl-cote-d-ivoire-et-domicile-du-directeur-pays.html,25/11/2025,08/12/2025
AVIS DE PUBLICATION D'APPELS D'OFFRES POUR CONTRATS-CADRES DANS PLUSIE...,https://www.educarriere.ci/ao-1436-avis-de-publication-d-appels-d-offres-pour-contrats-cadres-dans-plusieurs-domaines.html,25/11/2025,08/12/2025
SELECTION D'UN PRESTATAIRE POUR LA COUVERTURE D'ASSURANCE MULTIRISQUES...,https://www.educarriere.ci/ao-1435-selection-d-un-prestataire-pour-la-couverture-d-assurance-multirisques-biens-habitations-helen-keller-intl-cote-d-ivoire.html,25/11/2025,08/12/2025
Vendeuse / Conseillère Beauté & Commerciale (Cosmétiques),https://emploi.educarriere.ci/offre-141456-vendeuse-conseillere-beaute-commerciale-cosmetiques.html,25/11/2025,08/12/2025
TELEVENDEUR(EUSE) CALL CENTER,https://emploi.educarriere.ci/offre-141455-televendeureuse-call-center.html,25/11/2025,08/12/2025
VENDEUSE,https://emploi.educarriere.ci/offre-141454-vendeuse.html,25/11/2025,08/12/2025
ACHETEUR(TRAVAUX),https://emploi.educarriere.ci/offre-141453-acheteurtravaux.html,25/11/2025,02/12/2025
COMMERCIAUX TERRAINS (TERRITORY MANAGER),https://emploi.educarriere.ci/offre-141452-commerciaux-terrains-territory-manager.html,25/11/2025,08/12/2025
COMMERCIAL TERRAIN (H/F) EN DISTRIBUTION DE BOISSONS,https://emploi.educarriere.ci/offre-141451-commercial-terrain-h-f-en-distribution-de-boissons.html,25/11/2025,08/12/2025
AGENT FINITION,https://emploi.educarriere.ci/offre-141450-agent-finition.html,25/11/2025,08/12/2025
COMPTABLE/ CAISSIER(E),https://emploi.educarriere.ci/offre-141449-comptable-caissiere.html,25/11/2025,08/12/2025
COMMERCIAL B2B,https://emploi.educarriere.ci/offre-141448-commercial-b2b.html,24/11/2025,08/12/2025
COMMERCIAL B2B DIGITAL,https://emploi.educarriere.ci/offre-141447-commercial-b2b-digital.html,24/11/2025,08/12/2025
COMMUNITY MANAGER STAGIAIRE,https://emploi.educarriere.ci/offre-141446-community-manager-stagiaire.html,24/11/2025,08/12/2025
ASSISTANTE DE DIRECTION,https://emploi.educarriere.ci/offre-141445-assistante-de-direction.html,24/11/2025,12/02/2026
TECHNICIEN(NE) MULTITECHNIQUE,https://emploi.educarriere.ci/offre-141444-technicienne-multitechnique.html,24/11/2025,31/12/2025
FORMATEURS,https://emploi.educarriere.ci/offre-141443-formateurs.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN APPEL D’OFFRES,https://emploi.educarriere.ci/offre-141442-consultant-formateur-en-appel-d-offres.html,24/11/2025,08/12/2025
SECRETAIRE STAGIAIRE/NOTIONS EN COMPTABILITE,https://emploi.educarriere.ci/offre-141441-secretaire-stagiaire-notions-en-comptabilite.html,24/11/2025,08/12/2025
COMMERCIAL FREELANCE ERP (H/F),https://emploi.educarriere.ci/offre-141440-commercial-freelance-erp-h-f.html,24/11/2025,12/12/2025
CONSULTANCE INTERNATIONALE MOBILISATION SMNI – CÔTE D’I...,https://emploi.educarriere.ci/offre-141439-consultance-internationale-mobilisation-smni-cote-d-ivoire.html,24/11/2025,15/02/2026
CONSULTANT FORMATEUR EN DROIT & FISCALITÉ,https://emploi.educarriere.ci/offre-141438-consultant-formateur-en-droit-fiscalite.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN CAISSIÈRE SPÉCIALISÉE,https://emploi.educarriere.ci/offre-141437-consultant-formateur-en-caissiere-specialisee.html,24/11/2025,08/12/2025
CONSULTANT/FORMATEUR,https://emploi.educarriere.ci/offre-141436-consultant-formateur.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN AIDE-SOIGNANTE,https://emploi.educarriere.ci/offre-141435-consultant-formateur-en-aide-soignante.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN DÉLÉGUÉ MÉDICAL,https://emploi.educarriere.ci/offre-141434-consultant-formateur-en-delegue-medical.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN ASSISTANAT DE DIRECTION,https://emploi.educarriere.ci/offre-141433-consultant-formateur-en-assistanat-de-direction.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN MONTAGE VIDÉO & INFOGRAPHIE,https://emploi.educarriere.ci/offre-141432-consultant-formateur-en-montage-video-infographie.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN MARKETING DIGITAL,https://emploi.educarriere.ci/offre-141431-consultant-formateur-en-marketing-digital.html,24/11/2025,08/12/2025
GERANT ESPACE MULTIMEDIA,https://emploi.educarriere.ci/offre-141430-gerant-espace-multimedia.html,24/11/2025,01/01/2026
CONSULTANT FORMATEUR EN EXCEL AVANCÉ,https://emploi.educarriere.ci/offre-141429-consultant-formateur-en-excel-avance.html,24/11/2025,08/12/2025
RESPONSABLE DÉVELOPPEMENT MARKETING ET  COMMUNICATION,https://emploi.educarriere.ci/offre-141428-responsable-developpement-marketing-et-communication.html,24/11/2025,25/12/2025
EXPERT(E) EN DIDACTIQUE ET INNOVATION ÉDUCATIVE,https://emploi.educarriere.ci/offre-141427-experte-en-didactique-et-innovation-educative.html,24/11/2025,09/12/2025
Business Development Associate,https://emploi.educarriere.ci/offre-141426-business-development-associate.html,24/11/2025,07/12/2025
COMPTABLE,https://emploi.educarriere.ci/offre-141425-comptable.html,24/11/2025,29/11/2025
CHEF D'AGENCE : AGENCE DE VOYAGE ET DE TOURISME,https://emploi.educarriere.ci/offre-141424-chef-d-agence-agence-de-voyage-et-de-tourisme.html,24/11/2025,29/11/2025
SUPERVISEUR DE TRAVAUX BTP,https://emploi.educarriere.ci/offre-141423-superviseur-de-travaux-btp.html,24/11/2025,08/12/2025
COMMERCIAL BUREAU,https://emploi.educarriere.ci/offre-141422-commercial-bureau.html,24/11/2025,08/12/2025
RECRUTEMENT DE COMPTABLE,https://emploi.educarriere.ci/offre-141421-recrutement-de-comptable.html,24/11/2025,08/12/2025
CONTROLEUR,https://emploi.educarriere.ci/offre-141420-controleur.html,24/11/2025,23/12/2025
CONSULTANT FORMATEUR EN INFORMATIQUE BUREAUTIQUE,https://emploi.educarriere.ci/offre-141419-consultant-formateur-en-informatique-bureautique.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN COMPTABILITÉ,https://emploi.educarriere.ci/offre-141418-consultant-formateur-en-comptabilite.html,24/11/2025,08/12/2025
STAGIAIRE OFFICE MANAGER,https://emploi.educarriere.ci/offre-141417-stagiaire-office-manager.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN ANGLAIS PROFESSIONNEL,https://emploi.educarriere.ci/offre-141416-consultant-formateur-en-anglais-professionnel.html,24/11/2025,08/12/2025
CONSULTANT FORMATEUR EN GESTIONNAIRE DE STOCK ET MAGASINAGE,https://emploi.educarriere.ci/offre-141415-consultant-formateur-en-gestionnaire-de-stock-et-magasinage.html,24/11/2025,08/12/2025
RESPONSABLE COMMERCIAL,https://emploi.educarriere.ci/offre-141414-responsable-commercial.html,24/11/2025,02/12/2025
Chef de Quart Production Usine,https://emploi.educarriere.ci/offre-141412-chef-de-quart-production-usine.html,24/11/2025,01/12/2025
"Agent HSE (Hygiène, Sécurité, Environnement) H/F",https://emploi.educarriere.ci/offre-141411-agent-hse-hygiene-securite-environnement-h-f.html,24/11/2025,30/11/2025
CONSULTANT FORMATEUR EN SECOURISME & SÉCURITÉ INCENDIE,https://emploi.educarriere.ci/offre-141410-consultant-formateur-en-secourisme-securite-incendie.html,24/11/2025,08/12/2025
ASSISTANT ACHAT (1),https://emploi.educarriere.ci/offre-141409-assistant-achat-1.html,24/11/2025,30/11/2025
CHARGE GENRE ET ESG,https://emploi.educarriere.ci/offre-141408-charge-genre-et-esg.html,24/11/2025,08/12/2025
COMMERCIAUX JUNIORS POUR CABINET DE FORMATION,https://emploi.educarriere.ci/offre-141407-commerciaux-juniors-pour-cabinet-de-formation.html,24/11/2025,08/12/2025
CHARGE D'INCINENERATEUR,https://emploi.educarriere.ci/offre-141406-charge-d-incinenerateur.html,24/11/2025,08/12/2025
CHARGÉ DE LA GESTION COMPTABLE,https://emploi.educarriere.ci/offre-141405-charge-de-la-gestion-comptable.html,24/11/2025,08/12/2025
STAGIAIRES COMMERCIAUX,https://emploi.educarriere.ci/offre-141404-stagiaires-commerciaux.html,24/11/2025,08/12/2025
ASSISTANT (E) LOGISTIQUE,https://emploi.educarriere.ci/offre-141403-assistant-e-logistique.html,24/11/2025,08/12/2025
CHARGE(E) ACHAT & APPROVISIONNEMENT (BILINGUE FRANÇAIS-ANGL...,https://emploi.educarriere.ci/offre-141402-chargee-achat-approvisionnement-bilingue-francais-anglais.html,24/11/2025,08/12/2025
MENAGE,https://emploi.educarriere.ci/offre-141401-menage.html,24/11/2025,08/12/2025
STAGIAIRES INFORMATICIENS,https://emploi.educarriere.ci/offre-141400-stagiaires-informaticiens.html,24/11/2025,08/12/2025
NOUNOU QUI DORT ET QUI DESCEND,https://emploi.educarriere.ci/offre-141399-nounou-qui-dort-et-qui-descend.html,24/11/2025,08/12/2025
STAGIAIRE COMMERCIAL ITINÉRANT & SÉDENTAIRE (H/F),https://emploi.educarriere.ci/offre-141398-commercial-itinerant-sedentaire-h-f.html,24/11/2025,25/11/2025
COMMUNITY MANAGER STAGIAIRE,https://emploi.educarriere.ci/offre-141397-community-manager-stagiaire.html,24/11/2025,08/12/2025
CONSULTANTS FORMATEURS,https://emploi.educarriere.ci/offre-141396-recrutement-de-consultants-formateurs.html,24/11/2025,08/12/2025
"Chargé, de la mesure et de l'analyse des programmes (PM&I)",https://emploi.educarriere.ci/offre-141395-charge-de-la-mesure-et-de-l-analyse-des-programmes-pm-i.html,24/11/2025,04/12/2025
RESPONSABLE BUSINESS INTELLIGENCE (1),https://emploi.educarriere.ci/offre-141394-responsable-business-intelligence-1.html,24/11/2025,02/12/2025
CHEF DU DEPARTEMENT INNOVATION & COMMUNICATION (1),https://emploi.educarriere.ci/offre-141393-chef-du-departement-innovation-communication-1.html,24/11/2025,04/12/2025
CUISINIERE ET MENAGERE (QUI DORT SUR PLACE),https://emploi.educarriere.ci/offre-141392-cuisiniere-et-menagere-qui-dort-sur-place.html,24/11/2025,08/12/2025
STAGIAIRE COMMERCIAL,https://emploi.educarriere.ci/offre-141391-stagiaire-commercial.html,24/11/2025,15/12/2025
CHARGE DE MISSION SENIOR EN FINANCE DURABLE (1),https://emploi.educarriere.ci/offre-141390-charge-de-mission-senior-en-finance-durable-1.html,24/11/2025,07/12/2025
"Responsable du développement commercial 
Afrique de l'Oues...",https://emploi.educarriere.ci/offre-141389-responsable-du-developpement-commercial-afrique-de-l-ouest.html,24/11/2025,03/12/2025
Planificateur de pièces Francophone,https://emploi.educarriere.ci/offre-141388-planificateur-de-pieces-francophone.html,24/11/2025,02/12/2025
RESPONSABLE TECHNICO-COMMERCIAL ET FORMATIONS (1),https://emploi.educarriere.ci/offre-141387-responsable-technico-commercial-et-formations-1.html,24/11/2025,07/12/2025
"Assistant Technique à la Certification (F/H), Bureau Verita...",https://emploi.educarriere.ci/offre-141386-assistant-technique-a-la-certification-f-h-bureau-veritas-cote-d-ivoire.html,24/11/2025,07/12/2025
ASSISTANTS CONFIRMES -AUDIT,https://emploi.educarriere.ci/offre-141385-assistants-confirmes-audit.html,24/11/2025,01/12/2025
SENIORS AUDIT (CDI),https://emploi.educarriere.ci/offre-141384-seniors-audit-cdi.html,24/11/2025,01/12/2025
Chef de Mission en Expertise Comptable,https://emploi.educarriere.ci/offre-141383-chef-de-mission-en-expertise-comptable.html,24/11/2025,01/12/2025
Auditeur sénior H/F,https://emploi.educarriere.ci/offre-141382-auditeur-senior-h-f.html,24/11/2025,01/12/2025
ARCHIVISTE H/F,https://emploi.educarriere.ci/offre-141381-archiviste-h-f.html,24/11/2025,30/11/2025
ESTHETICIENNE CLUB DE MARQUES H/F,https://emploi.educarriere.ci/offre-141380-estheticienne-club-de-marques-h-f.html,24/11/2025,30/11/2025
Responsable Reporting et Contrôle (h/f),https://emploi.educarriere.ci/offre-141379-responsable-reporting-et-controle-h-f.html,24/11/2025,30/11/2025
Channel Account Manager,https://emploi.educarriere.ci/offre-141378-channel-account-manager.html,24/11/2025,30/11/2025
Responsable OPS et Administration Solutions OM (h/f),https://emploi.educarriere.ci/offre-141377-responsable-ops-et-administration-solutions-om-h-f.html,24/11/2025,30/11/2025
Système de spécialistes du support,https://emploi.educarriere.ci/offre-141376-systeme-de-specialistes-du-support.html,24/11/2025,27/11/2025
Manager Digital Services (h/f),https://emploi.educarriere.ci/offre-141375-manager-digital-services-h-f.html,24/11/2025,30/11/2025
TECHNICO COMMERCIAL ELECTROMECANIQUE BILINGUE (F/H),https://emploi.educarriere.ci/offre-141374-technico-commercial-electromecanique-bilingue-f-h.html,24/11/2025,02/01/2026
RESPONSABLE LABORATOIRE & QUALITÉ,https://emploi.educarriere.ci/offre-141373-responsable-laboratoire-qualite.html,24/11/2025,13/12/2025
AGENT DE SECURITE,https://emploi.educarriere.ci/offre-141371-agent-de-securite.html,24/11/2025,15/12/2025
STAGIAIRE COMMERCIAL ET MARKETING,https://emploi.educarriere.ci/offre-141369-marketing.html,24/11/2025,08/12/2025
BUSINESS DEVELOPPER,https://emploi.educarriere.ci/offre-141368-business-developper.html,24/11/2025,08/12/2025
01 CHEF DE PROJET EVENT & TEAM BULDING (H/F),https://emploi.educarriere.ci/offre-141367-01-chef-de-projet-event-team-bulding-h-f.html,24/11/2025,08/12/2025
AGENT COMMERCIAL,https://emploi.educarriere.ci/offre-141366-agent-commercial.html,24/11/2025,30/11/2025
01 SUPERVISEUR (H/F),https://emploi.educarriere.ci/offre-141365-01-superviseur-h-f.html,24/11/2025,08/12/2025
JURISTE,https://emploi.educarriere.ci/offre-141364-juriste.html,24/11/2025,12/02/2026
COMMERCIAUX TERRAIN,https://emploi.educarriere.ci/offre-141363-commerciaux-terrain.html,24/11/2025,10/12/2025
COMMERCIAL,https://emploi.educarriere.ci/offre-141362-commercial.html,24/11/2025,08/12/2025
RESPONSABLE DÉVELOPPEMENT COMMERCIAL & MARKETING,https://emploi.educarriere.ci/offre-141361-responsable-developpement-commercial-marketing.html,24/11/2025,01/12/2025
QUALITICIEN STAGIAIRE,https://emploi.educarriere.ci/offre-141360-qualiticien-stagiaire.html,24/11/2025,01/12/2025
MAGASINIER,https://emploi.educarriere.ci/offre-141359-magasinier.html,24/11/2025,01/12/2025
GESTIONNAIRE DE STOCK EVENEMENTIEL,https://emploi.educarriere.ci/offre-141358-gestionnaire-de-stock-evenementiel.html,24/11/2025,01/12/2025
ANALYSTE COMPTABLE,https://emploi.educarriere.ci/offre-141357-analyste-comptable.html,24/11/2025,01/12/2025
COURSIER A MOTO,https://emploi.educarriere.ci/offre-141356-coursier-a-moto.html,24/11/2025,01/12/2025
AGENT COMMERCIAL,https://emploi.educarriere.ci/offre-141355-agent-commercial.html,24/11/2025,07/12/2025
RESPONSABLE SUIVI ET EVALUATION (H/F),https://emploi.educarriere.ci/offre-141354-responsable-suivi-et-evaluation-h-f.html,24/11/2025,01/12/2025
ASSSTANT COMPTABLE ET LOGISTIQUE (H/F),https://emploi.educarriere.ci/offre-141353-assstant-comptable-et-logistique-h-f.html,24/11/2025,01/12/2025
PROFESSEUR D'ANGLAIS  VACATAIRE  POUR LE PRIMAIRE,https://emploi.educarriere.ci/offre-141352-professeur-d-anglais-vacataire-pour-le-primaire.html,24/11/2025,01/12/2025
ASSSTANT RESSOURCES HUMAINES ET ADMINSTRATION (H/F),https://emploi.educarriere.ci/offre-141351-assstant-ressources-humaines-et-adminstration-h-f.html,24/11/2025,01/12/2025
ASSSTANT DATA ET REPORTING (H/F),https://emploi.educarriere.ci/offre-141350-assstant-data-et-reporting-h-f.html,24/11/2025,01/12/2025
COORDINATEUR DE PROJET COMUNAUTAIRE (H/F),https://emploi.educarriere.ci/offre-141349-coordinateur-de-projet-comunautaire-h-f.html,24/11/2025,01/12/2025
TECHNICIEN AGRICOLE (H/F),https://emploi.educarriere.ci/offre-141348-technicien-agricole-h-f.html,24/11/2025,01/12/2025
SUPERVISEUR TERRAIN COMUNAUTAIRE (H/F),https://emploi.educarriere.ci/offre-141347-superviseur-terrain-comunautaire-h-f.html,24/11/2025,01/12/2025
LIVREUR MOTO / BINGERVILLE,https://emploi.educarriere.ci/offre-141346-livreur-moto-bingerville.html,24/11/2025,01/12/2025
Data Analyste (h/f),https://emploi.educarriere.ci/offre-141345-data-analyste-h-f.html,24/11/2025,30/11/2025
COMMERCIAL(E) BILINGUE – PÔLE FORMATION,https://emploi.educarriere.ci/offre-141344-commerciale-bilingue-pole-foramation.html,24/11/2025,07/12/2025
Manager Pilotage QS et Gestion des Opérations (h/f),https://emploi.educarriere.ci/offre-141343-manager-pilotage-qs-et-gestion-des-operations-h-f.html,24/11/2025,30/11/2025
Ingénieur Sécurité des Endpoints et Investigation (h/f),https://emploi.educarriere.ci/offre-141342-ingenieur-securite-des-endpoints-et-investigation-h-f.html,24/11/2025,29/11/2025
STAGIAIRE EN MARKETING DIGITAL,https://emploi.educarriere.ci/offre-141341-stage-en-marketing-digital.html,24/11/2025,07/12/2025
STAGIARE POUR UN STAGE DE PERFECTIONNEMENT – TÉLÉTRAVAIL,https://emploi.educarriere.ci/offre-141552-stage-de-perfectionnement-teletravail.html,26/11/2025,20/12/2025
STAGIAIRES – STAGE ÉCOLE (TÉLÉTRAVAIL),https://emploi.educarriere.ci/offre-141551-recrutement-de-stagiaires-stage-ecole-teletravail.html,26/11/2025,20/12/2025
COMMUNITY MANAGER,https://emploi.educarriere.ci/offre-141550-community-manager.html,26/11/2025,22/12/2025
VENDEUR(SE),https://emploi.educarriere.ci/offre-141549-vendeurse.html,26/11/2025,01/12/2025
STAGIAIRE COMPTABLE,https://emploi.educarriere.ci/offre-141548-stagiaire-comptable.html,26/11/2025,08/12/2025
Chef de Projet (COP),https://emploi.educarriere.ci/offre-141547-chef-de-projet-cop.html,26/11/2025,10/12/2025
MAGASINIER,https://emploi.educarriere.ci/offre-141546-magasinier.html,26/11/2025,08/12/2025
"Directeur du suivi, de l'évaluation, de la recherche et de ...",https://emploi.educarriere.ci/offre-141545-directeur-du-suivi-de-l-evaluation-de-la-recherche-et-de-l-apprentissage-merl.html,26/11/2025,10/12/2025
SUPERVISEUR ADJOINT,https://emploi.educarriere.ci/offre-141544-superviseur-adjoint.html,26/11/2025,05/12/2025
COMMERCIAL TERRAIN,https://emploi.educarriere.ci/offre-141543-commercial-terrain.html,26/11/2025,08/12/2025
ASSISTANTE DE DIRECTION COMMERCIALE,https://emploi.educarriere.ci/offre-141542-assistante-de-direction-commerciale.html,26/11/2025,08/12/2025
CONSULTANT/FORMATEUR,https://emploi.educarriere.ci/offre-141541-consultant-formateur.html,26/11/2025,08/12/2025
COMMERCIAL,https://emploi.educarriere.ci/offre-141540-commercial.html,26/11/2025,08/12/2025
TELE VENDEUR/ VENDEUSE,https://emploi.educarriere.ci/offre-141539-tele-vendeur-vendeuse.html,26/11/2025,12/12/2025
CONSEILLER CLIENT (H/F),https://emploi.educarriere.ci/offre-141538-conseiller-client-h-f.html,26/11/2025,10/12/2025
COMMUNITY MANAGER,https://emploi.educarriere.ci/offre-141537-community-manager.html,26/11/2025,08/12/2025
STAGIAIRE AGENT PRESSING,https://emploi.educarriere.ci/offre-141536-stagiaire-agent-pressing.html,26/11/2025,10/12/2025
SOUDEUR,https://emploi.educarriere.ci/offre-141535-soudeur.html,26/11/2025,08/12/2025
AGENT DE SÉCURITÉ,https://emploi.educarriere.ci/offre-141534-agent-de-securite.html,26/11/2025,08/12/2025
CHARGE(E) DE COMMUNICATION,https://emploi.educarriere.ci/offre-141533-chargee-de-communication.html,26/11/2025,09/12/2025
Technicien(ne) Informatique,https://emploi.educarriere.ci/offre-141532-technicienne-informatique.html,26/11/2025,11/12/2025
CUISINIERE QUI DORT SUR PLACE,https://emploi.educarriere.ci/offre-141531-cuisiniere-qui-dort-sur-place.html,26/11/2025,08/12/2025
RESPONSABLE TRESORERIE ET REFINANCEMENT (H/F),https://emploi.educarriere.ci/offre-141530-responsable-tresorerie-et-refinancement-h-f.html,26/11/2025,10/12/2025
COMMERCIAUX TERRAIN FREELANCE,https://emploi.educarriere.ci/offre-141529-recherche-de-commerciaux-terrain-freelance.html,26/11/2025,08/12/2025
ASSISTANTE BILINGUE,https://emploi.educarriere.ci/offre-141528-assistante-bilingue.html,26/11/2025,08/12/2025
COMMERCIALE DIGITAL ( F),https://emploi.educarriere.ci/offre-141527-commerciale-digital-f.html,26/11/2025,08/12/2025
COMMERCIAL PRODUITS ALIMENTAIRES,https://emploi.educarriere.ci/offre-141526-commercial-produits-alimentaires.html,26/11/2025,08/12/2025
INGÉNIEUR DEVOPS,https://emploi.educarriere.ci/offre-141525-ingenieur-devops.html,26/11/2025,04/12/2025
DÉVELOPPEUR FULL STACK SENIOR,https://emploi.educarriere.ci/offre-141524-developpeur-full-stack-senior.html,26/11/2025,04/12/2025
MONTEUR (RIGGER),https://emploi.educarriere.ci/offre-141523-monteur-rigger.html,26/11/2025,08/12/2025
UN (E) RESPONSABLE COMPTABLE & FINANCIER(ERE),https://emploi.educarriere.ci/offre-141522-un-e-responsable-comptable-financierere.html,26/11/2025,08/12/2025
COMMERCIAL(E) BILINGUE – PÔLE FORMATION,https://emploi.educarriere.ci/offre-141521-commerciale-bilingue-pole-formation.html,26/11/2025,08/12/2025
ASSITANT LOGISTICIEN,https://emploi.educarriere.ci/offre-141520-assitant-logisticien.html,26/11/2025,05/12/2025
COMMERCIAL BILINGUE FRANÇAIS ANGLAIS,https://emploi.educarriere.ci/offre-141519-commercial-bilingue-francais-anglais.html,26/11/2025,28/11/2025
CONSULTANT COMMERCIAL,https://emploi.educarriere.ci/offre-141518-consultant-commercial.html,26/11/2025,08/12/2025
FORMATEUR H/F DSCG,https://emploi.educarriere.ci/offre-141517-formateur-h-f-dscg.html,26/11/2025,08/12/2025
ÉLECTROMÉCANICIEN GROUPE ÉLECTROGÈNES,https://emploi.educarriere.ci/offre-141516-electromecanicien-groupe-electrogenes.html,26/11/2025,08/12/2025
SUPERVISEUR CALL CENTER,https://emploi.educarriere.ci/offre-141515-superviseur-call-center.html,26/11/2025,08/12/2025
COMMERCIAL(E) AUTOMOBILE SENIOR,https://emploi.educarriere.ci/offre-141514-commerciale-automobile-senior.html,26/11/2025,08/12/2025
STAGIAIRE ASSISTANTE DE DIRECTION – GESTION ADMINISTRATIVE...,https://emploi.educarriere.ci/offre-141513-stagiaire-assistante-de-direction-gestion-administrative-et-organisationnelle.html,26/11/2025,28/12/2025
TÉLÉOPÉRATEUR / CALL CENTER,https://emploi.educarriere.ci/offre-141512-teleoperateur-call-center.html,26/11/2025,08/12/2025
UN (01) Responsable Projet axé sur la planification familia...,https://emploi.educarriere.ci/offre-141511-un-01-responsable-projet-axe-sur-la-planification-familiale-a-base-communautaire.html,26/11/2025,02/12/2025
Secrétaire de Direction,https://emploi.educarriere.ci/offre-141510-secretaire-de-direction.html,26/11/2025,12/12/2025
